id,Region,Rooms,Area,Price,Street,Zip,City,Latitude,Longitude
16214,Neuenburg,3.5,70,1280,Cret-Vaillant 27,2400,Le Locle,47.06028747558594,6.75178337097168
16219,Neuenburg,3.0,62,940,Numa-Droz 123,2300,La Chaux-de-Fonds,47.09976577758789,6.820438861846924
16221,Neuenburg,3.0,82,1090,Paix 109,2300,La Chaux-de-Fonds,47.098365783691406,6.81908655166626
16228,Neuenburg,1.0,28,720,Rue des Berthoudes 68,2000,Neuchatel,47.009246826171875,6.965251445770264
16229,Neuenburg,2.5,53,1235,Rue Pain-Blanc 17,2000,Neuchatel,46.9821662902832,6.89907693862915
16230,Neuenburg,3.0,62,1400,Rue de L'Oree,2000,Neuchatel,47.00128173828125,6.943068027496338
16231,Neuenburg,3.0,90,2330,escalier de l' Immobiliere,2000,Neuchatel,46.992740631103516,6.924501895904541
16232,Neuenburg,3.5,90,1724,Rue du Clos-de-Serrieres 5,2000,Neuchatel,46.98226547241211,6.902144432067871
16233,Neuenburg,3.0,100,1450,Rue de la Balance 12,2300,La Chaux-de-Fonds,47.104644775390625,6.831559181213379
16234,Neuenburg,2.0,52,1210,Rue du Closel 18,2074,Marin,47.008358001708984,7.008282661437988
16235,Neuenburg,2.5,64,1325,Rue du Closel 18,2074,Marin,47.008358001708984,7.008282661437988
16236,Neuenburg,4.5,125,1661,Pierre Dubied 10,2108,Couvet,46.922996520996094,6.635599136352539
16237,Neuenburg,4.0,115,1680,Rue du College 7,2114,Val-de-Travers,46.90357971191406,6.5786333084106445
16238,Neuenburg,3.0,60,1080,Promenade 13,2300,La Chaux-de-Fonds,47.10148239135742,6.832981109619141
16239,Neuenburg,3.5,71,1500,Rue de Champreveyres 16,2000,Neuchatel,47.006988525390625,6.964533805847168
16240,Neuenburg,3.0,67,1500,Rue de Champreveyres 14,2000,Neuchatel,47.0066032409668,6.964100360870361
16241,Neuenburg,4.5,100,2360,Ruelle Vaucher 15,2000,Neuchatel,46.9955940246582,6.935483455657959
16242,Neuenburg,2.5,55,1405,Fbg du Lac 35,2000,Neuchatel,46.99376678466797,6.935773849487305
16243,Neuenburg,3.5,80,1580,Chemin des Grillons 3,2000,Neuchatel,46.993873596191406,6.920219898223877
16244,Neuenburg,2.0,48,1235,Rue du Chasselas 18,2000,Neuchatel,46.98774719238281,6.91061544418335
16247,Neuenburg,2.0,50,865,Sorbiers 21,2300,La Chaux-de-Fonds,47.108097076416016,6.828200340270996
16248,Neuenburg,2.0,76,950,Parc 47,2300,La Chaux-de-Fonds,47.10152816772461,6.825356483459473
16250,Neuenburg,2.5,52,1210,Chemin de la Petite-Thielle 10,2525,Le Landeron,47.05453109741211,7.070136070251465
16253,Neuenburg,3.5,89,1250,Daniel-Jeanrichard 39,2300,La Chaux-de-Fonds,47.099857330322266,6.826292037963867
16254,Neuenburg,4.5,94,1925,Vy-d'Etra 71,2000,Neuchatel,47.01115417480469,6.962294578552246
16255,Neuenburg,3.0,70,1130,Rue du Progres 17,2108,Couvet,46.92244338989258,6.627692222595215
16256,Neuenburg,3.5,72,1170,Progres 2,2300,La Chaux-de-Fonds,47.10708999633789,6.829786777496338
16260,Neuenburg,3.0,67,1492,Rue de Champreveyres 14,2000,Neuchatel,47.0066032409668,6.964100360870361
16262,Neuenburg,3.5,78,1390,Rue de l'Industrie 14,2300,La Chaux-de-Fonds,47.10606002807617,6.831948280334473
16266,Neuenburg,1.0,17,455,Rue de la Cote 40,2400,Le Locle,47.056400299072266,6.743250846862793
16267,Neuenburg,2.5,46,1090,Rue Jaquet-Droz 12,2300,La Chaux-de-Fonds,47.10172653198242,6.830098628997803
16268,Neuenburg,4.5,102,2149,Passage Blaise Cendrars 15,2017,Boudry,46.955841064453125,6.837680339813232
16269,Neuenburg,3.0,75,940,Temple-Allemand 97,2300,La Chaux-de-Fonds,47.1016731262207,6.820897579193115
16270,Neuenburg,3.5,79,1213,Numa-Droz 128,2300,La Chaux-de-Fonds,47.0997200012207,6.819605827331543
16274,Neuenburg,1.0,78,1430,Rue de l'Ecluse 38,2000,Neuchatel,46.992774963378906,6.9252190589904785
16275,Neuenburg,3.0,67,1200,Abraham-Robert 17,2300,La Chaux-de-Fonds,47.09023666381836,6.824927806854248
16280,Neuenburg,3.0,62,940,Numa-Droz 123,2300,La Chaux-de-Fonds,47.09976577758789,6.820438861846924
16282,Neuenburg,3.0,82,1090,Paix 109,2300,La Chaux-de-Fonds,47.098365783691406,6.81908655166626
16288,Neuenburg,4.5,90,1850,Rue de Beauregard 16,2000,Neuchatel,46.98674774169922,6.907808780670166
16291,Neuenburg,1.0,25,800,Chemin de Pre-Gaillard 8,2016,Cortaillod,46.95160675048828,6.852116584777832
16293,Neuenburg,3.5,99,1240,Musees 60,2300,La Chaux-de-Fonds,47.09944534301758,6.826237201690674
16294,Neuenburg,5.5,160,6000,Rue du Mole 5,2000,Neuchatel,46.988990783691406,6.929436206817627
16296,Neuenburg,2.0,50,850,Boulevard des Eplatures 36,2300,La Chaux-de-Fonds,47.08729934692383,6.802096843719482
16297,Neuenburg,3.5,83,1140,Rue du Commerce 97,2300,La Chaux-de-Fonds,47.09320831298828,6.81833028793335
16301,Neuenburg,2.0,44,884,Rue des Cretets 139,2300,La Chaux-de-Fonds,47.089813232421875,6.815104961395264
16303,Neuenburg,6.0,180,2470,Rue des Moulins 4,2072,St-Blaise,47.01414108276367,6.9880781173706055
16305,Neuenburg,3.5,71,1070,Rue de l'Industrie 14,2300,La Chaux-de-Fonds,47.10606002807617,6.831948280334473
16308,Neuenburg,3.5,89,1390,Rue Jaquet-Droz 6,2300,La Chaux-de-Fonds,47.102195739746094,6.830817699432373
16309,Neuenburg,3.5,96,1390,Rue Jaquet-Droz 6,2300,La Chaux-de-Fonds,47.102195739746094,6.830817699432373
16311,Neuenburg,4.0,112,1349,Musees 60,2300,La Chaux-de-Fonds,47.09944534301758,6.826237201690674
16315,Neuenburg,7.0,360,3800,Rue Neuve 8,2300,La Chaux-de-Fonds,47.10352325439453,6.8310465812683105
16316,Neuenburg,2.0,40,1190,Ravin 1,2300,La Chaux-de-Fonds,47.11068344116211,6.829226970672607
16319,Neuenburg,3.5,97,1600,Rue Jardiniere 117,2300,La Chaux-de-Fonds,47.0977783203125,6.818995475769043
16321,Neuenburg,4.0,79,1040,Primeveres 4,2400,Le Locle,47.052207946777344,6.75084114074707
16322,Neuenburg,2.5,70,900,Rue de France 31,2400,Le Locle,47.0551643371582,6.742279052734375
16325,Neuenburg,5.5,110,2170,Fbg du Lac 35,2000,Neuchatel,46.99376678466797,6.935773849487305
16326,Neuenburg,3.0,72,1433,Rue Louis Favre 29,2000,Neuchatel,46.99467086791992,6.930133819580078
16327,Neuenburg,3.0,67,1485,Rue de la Rosiere 1,2000,Neuchatel,46.992042541503906,6.916823387145996
16328,Neuenburg,5.0,150,1960,Cret-du-Jura,2208,Val-de-Ruz,47.04936981201172,6.875565052032471
16329,Neuenburg,2.5,70,1649,Chemin des Brandards,2000,Neuchatel,46.989784240722656,6.903317928314209
16338,Neuenburg,1.0,30,930,Rue Auguste-Bachelin 15,2000,Neuchatel,46.994239807128906,6.921998023986816
16339,Neuenburg,2.5,28,1160,Ruelle du Fornel 2,2000,Neuchatel,46.99398422241211,6.9355573654174805
16340,Neuenburg,2.0,42,1066,Chemin de Pre-Gaillard 8,2016,Cortaillod,46.95160675048828,6.852116584777832
16343,Neuenburg,2.5,46,1645,Avenue des Alpes 10,2000,Neuchatel,46.99057388305664,6.911296367645264
16344,Neuenburg,1.0,56,1280,Rue des Saars 2,2000,Neuchatel,46.99721908569336,6.948334693908691
16347,Neuenburg,4.5,91,1702,Colline 3,2013,Colombier NE,46.96241760253906,6.858656406402588
16350,Neuenburg,2.0,53,740,Sorbiers 23,2300,La Chaux-de-Fonds,47.10801315307617,6.828073501586914
16352,Neuenburg,2.5,67,1130,Cret de l'eau 13,2108,Couvet,46.921329498291016,6.63303279876709
16358,Neuenburg,3.5,58,1580,Chemin de La Caille 78,2000,Neuchatel,46.98675537109375,6.910251617431641
16359,Neuenburg,2.0,47,865,Rue du Progres 11,2108,Couvet,46.92296600341797,6.62883996963501
16360,Neuenburg,3.5,62,1360,Rue Sainte-Helene 34,2000,Neuchatel,47.00719451904297,6.9578046798706055
16371,Neuenburg,4.5,91,1895,Chemin des Sauges 14,2015,Areuse,46.952491760253906,6.851178169250488
16373,Neuenburg,4.0,83,1480,Rue du Locle 44,2300,La Chaux-de-Fonds,47.09109878540039,6.809535503387451
16376,Neuenburg,3.0,68,1090,Rue du Progres 17,2108,Couvet,46.92244338989258,6.627692222595215
16377,Neuenburg,5.5,110,1970,Rue des Sources 5,2014,Bole,46.96887969970703,6.839885234832764
16379,Neuenburg,3.0,64,1220,Chemin des Etroits 12,2087,Cornaux NE,47.035667419433594,7.016026496887207
16381,Neuenburg,2.5,46,1005,Rue du Nord 135,2300,La Chaux-de-Fonds,47.10283279418945,6.820982933044434
16383,Neuenburg,3.5,65,1630,Rue des Courtils 7,2035,Corcelles NE,46.984256744384766,6.881438255310059
16384,Neuenburg,2.5,147,2650,a Rue des Cadolles 4,2000,Neuchatel,,
16388,Neuenburg,5.5,140,2633,Rue Haute 2,2013,Milvignes,46.96622848510742,6.860652446746826
16391,Neuenburg,4.5,72,1349,Rue de la Ruche 42,2300,La Chaux-de-Fonds,47.090518951416016,6.825703144073486
16393,Neuenburg,3.0,68,1757,Rue du Lac 10,2014,Bole,46.96723556518555,6.842970371246338
16394,Neuenburg,3.5,93,2425,Petit-Pontarlier 1,2000,Neuchatel,46.99126052856445,6.923316478729248
16395,Neuenburg,4.5,140,2740,Epancheurs 40,2012,Auvernier,46.97517013549805,6.877659320831299
16396,Neuenburg,2.0,55,655,Gare 12,2400,Le Locle,47.058284759521484,6.748365879058838
16398,Neuenburg,3.5,84,1299,Rue des Envers 60,2400,Le Locle,47.05497360229492,6.746196746826172
16400,Neuenburg,3.5,74,1390,Rue Jaquet-Droz 6,2300,La Chaux-de-Fonds,47.102195739746094,6.830817699432373
16402,Neuenburg,3.0,69,1792,Rue du Lac 8a,2014,Bole,46.96712875366211,6.84261417388916
16405,Neuenburg,3.5,96,1390,Rue Numa-Droz 15,2300,La Chaux-de-Fonds,47.105621337890625,6.829302787780762
16406,Neuenburg,3.5,89,1340,Rue Numa-Droz 15,2300,La Chaux-de-Fonds,47.105621337890625,6.829302787780762
16407,Neuenburg,3.5,71,1085,Rue de la Balance 8,2300,La Chaux-de-Fonds,47.10403823852539,6.832078456878662
16408,Neuenburg,4.5,98,1430,Rue de la Balance 8,2300,La Chaux-de-Fonds,47.10403823852539,6.832078456878662
16409,Neuenburg,5.0,90,1530,Rue du Locle 10,2300,La Chaux-de-Fonds,47.09324645996094,6.813390254974365
16411,Neuenburg,4.0,85,1450,Rue du College 14,2114,Val-de-Travers,46.90361022949219,6.578975677490234
16415,Neuenburg,1.5,34,940,Rue de la Perriere 11,2000,Neuchatel,46.983394622802734,6.899932384490967
16416,Neuenburg,3.0,66,1270,Rue de la Cote 17,2052,Fontainemelon,47.05564880371094,6.884883403778076
16418,Neuenburg,1.0,72,890,Rue Fritz-Courvoisier,2300,La Chaux-de-Fonds,47.10357666015625,6.83301305770874
16419,Neuenburg,4.0,110,1850,Rue du Chateau,2034,Neuchatel,46.98827362060547,6.889061450958252
16421,Neuenburg,3.0,70,1470,Rue des Doloires,2063,Val-de-Ruz,47.038509368896484,6.935819625854492
16427,Neuenburg,3.0,67,1250,Rue du College 6,2112,Val-de-Travers,46.91027069091797,6.609221458435059
16428,Neuenburg,4.5,132,2080,Chemin du Grand-Hotel 3,2067,Chaumont,47.02762222290039,6.956018447875977
16431,Neuenburg,4.5,90,1850,Rue de Beauregard 16,2000,Neuchatel,46.98674774169922,6.907808780670166
16438,Neuenburg,3.0,67,1250,Rue du College 6,2112,Val-de-Travers,46.91027069091797,6.609221458435059
16439,Neuenburg,4.5,132,2080,Chemin du Grand-Hotel 3,2067,Chaumont,47.02762222290039,6.956018447875977
16440,Neuenburg,3.5,61,1600,Route de Neuchatel 2,2088,Cressier NE,47.05187225341797,7.038163185119629
16444,Neuenburg,4.5,112,1720,Route de L'Oree-du-Bois 10,2300,La Chaux-de-Fonds,47.09589385986328,6.84603214263916
16451,Neuenburg,2.5,40,1445,Rue du Bas 6,2000,Neuchatel,46.99082565307617,6.929896354675293
16453,Neuenburg,2.5,69,1250,Faubourg Philippe-Suchard 30,2017,Boudry,46.95518112182617,6.832515716552734
16460,Neuenburg,3.0,65,1000,Chemin de Bel-Air 8,2300,La Chaux-de-Fonds,47.10744857788086,6.829893589019775
16462,Neuenburg,4.0,92,1871,Rue des Battieux 1-3-5-7,2000,Neuchatel,,
16463,Neuenburg,1.0,25,800,Chemin de Pre-Gaillard 8,2016,Cortaillod,46.95160675048828,6.852116584777832
16464,Neuenburg,4.5,100,1920,Route du Seyon 7,2056,Dombresson,47.07056427001953,6.953982830047607
16469,Neuenburg,4.0,83,1430,Rue du Locle 44,2300,La Chaux-de-Fonds,47.09109878540039,6.809535503387451
16471,Neuenburg,3.0,79,1340,Rue Abraham-Robert 19,2300,La Chaux-de-Fonds,47.09034729003906,6.824438095092773
16473,Neuenburg,4.5,84,1640,Rue du Beau-Site 22,2014,Bole,46.96730422973633,6.833048343658447
16477,Neuenburg,3.0,75,1300,Avenue Leopold-Robert 32,2300,La Chaux-de-Fonds,47.10197448730469,6.828029155731201
16479,Neuenburg,3.5,72,1211,Rue de la Croix-Federale 48,2300,La Chaux-de-Fonds,47.10471725463867,6.843654155731201
16480,Neuenburg,4.0,94,1255,Rue Alexis-Marie-Piaget 31,2300,La Chaux-de-Fonds,47.10822296142578,6.8276896476745605
16483,Neuenburg,3.0,66,1070,Rue de Bel-Air 3,2300,La Chaux-de-Fonds,47.10680389404297,6.830327033996582
16484,Neuenburg,4.0,96,1400,Daniel-Jeanrichard 43,2300,La Chaux-de-Fonds,47.099674224853516,6.825984954833984
16485,Neuenburg,4.5,115,2095,Louis-de-Meuron 4,2074,Marin-Epagnier,47.009544372558594,6.999157905578613
16496,Neuenburg,4.5,86,1514,Rue de la Croix-Federale 48,2300,La Chaux-de-Fonds,47.10471725463867,6.843654155731201
16497,Neuenburg,2.0,68,1340,Rue Jardiniere 119,2300,La Chaux-de-Fonds,47.09773254394531,6.818969249725342
16499,Neuenburg,3.0,58,1430,Rue de Neuchatel 22,2034,Peseux,46.98839569091797,6.895810604095459
16503,Neuenburg,3.5,71,1170,Rue Combe-Grieurin 39A,2300,La Chaux-de-Fonds,47.101375579833984,6.817618370056152
16505,Neuenburg,3.5,83,1168,Rue du Commerce 99,2300,La Chaux-de-Fonds,47.09312057495117,6.818183898925781
16506,Neuenburg,3.5,83,1130,Rue du Commerce 97,2300,La Chaux-de-Fonds,47.09320831298828,6.81833028793335
16509,Neuenburg,3.0,60,1000,Rue du Grenier 2,2300,La Chaux-de-Fonds,47.10311508178711,6.832186222076416
16510,Neuenburg,4.5,84,1900,Chemin de la Caille 78,2000,Neuchatel,46.98675537109375,6.910251617431641
16511,Neuenburg,3.5,84,990,Rue des Envers 64,2400,Le Locle,47.054752349853516,6.745797157287598
16512,Neuenburg,2.5,46,884,Rue du Nord 135,2300,La Chaux-de-Fonds,47.10283279418945,6.820982933044434
16513,Neuenburg,3.0,75,810,Gare 12,2400,Le Locle,47.058284759521484,6.748365879058838
16518,Neuenburg,3.0,59,860,Rue des Envers 64,2400,Le Locle,47.054752349853516,6.745797157287598
16521,Neuenburg,2.0,50,1235,Rue du Chasselas,2000,Neuchatel,46.98706817626953,6.908962249755859
16522,Neuenburg,4.5,87,1650,Fbg Philippe Suchard 32,2017,Boudry,46.95505142211914,6.831905364990234
16524,Neuenburg,4.0,74,1395,Chemin des Etroits 14,2087,Cornaux NE,47.03555679321289,7.015865325927734
16525,Neuenburg,4.5,85,1440,Rue de Pierre-a-Sisier 5,2014,Bole,46.969200134277344,6.833485126495361
16526,Neuenburg,4.0,91,1210,Rue de l'Industrie,2300,La Chaux-de-Fonds,47.10581588745117,6.830870151519775
16527,Neuenburg,4.0,94,1580,Rue du Suchiez,2000,Neuchatel,46.98960494995117,6.904507637023926
16528,Neuenburg,1.0,18,890,Rue des Moulins,2000,Neuchatel,46.991798400878906,6.928496360778809
16529,Neuenburg,2.0,51,2690,Rue des Tertres,2074,La Tene,47.00897216796875,7.000690460205078
16530,Neuenburg,4.0,120,1950,Chemin des Etroits,2087,Cornaux,47.035667419433594,7.016026496887207
16531,Neuenburg,5.0,98,890,Chemin des Carrieres,2068,Hauterive,47.01348876953125,6.97200345993042
16532,Neuenburg,2.0,46,1050,Rue Girardet,2400,Le Locle,47.06520462036133,6.7633514404296875
16533,Neuenburg,1.0,30,1200,Chemin de Buchaux,2022,La Grande Beroche,46.933738708496094,6.8197407722473145
16537,Neuenburg,3.5,79,1945,Faubourd Philippe-Suchard 22,2017,Boudry,,
16538,Neuenburg,2.5,50,1506,Faubourd Philippe-Suchard 22,2017,Boudry,,
16539,Neuenburg,3.5,94,1807,Rue des Preels 7C,2036,Cormondreche,46.98291015625,6.871168613433838
16540,Neuenburg,4.0,83,1615,Rue de la Perriere 30,2000,Neuchatel,46.98322296142578,6.898643970489502
16541,Neuenburg,3.5,87,2440,Rue Gabriel-Lory,2000,Neuchatel,46.986412048339844,6.906697750091553
16542,Neuenburg,3.5,74,1154,Rue des Cretets 122,2300,La Chaux-de-Fonds,47.091915130615234,6.817347526550293
16544,Neuenburg,3.0,65,1430,Chemin des Carrels 26,2000,Neuchatel,46.990413665771484,6.899272441864014
16549,Neuenburg,2.5,70,1140,Cret de l'eau 13,2108,Couvet,46.921329498291016,6.63303279876709
16550,Neuenburg,2.5,58,1045,Rue du Vignoble 74,2087,Cornaux NE,47.03573989868164,7.012585639953613
16551,Neuenburg,4.0,69,1400,Chemin des Pales 15,2016,Cortaillod,46.94603729248047,6.846114635467529
16559,Neuenburg,1.0,28,870,Rue Marie-de-Nemours 12,2000,Neuchatel,46.99846649169922,6.947892189025879
16560,Neuenburg,4.0,117,1495,Grande-Rue 5,2400,Le Locle,47.05902862548828,6.749743461608887
16561,Neuenburg,5.0,141,3150,Avenue du Premier-Mars 6,2000,Neuchatel,46.9927864074707,6.9359283447265625
16563,Neuenburg,1.0,24,710,Rue du Centre 13,2052,Fontainemelon,47.05706024169922,6.89085054397583
16565,Neuenburg,4.5,98,1430,Rue de l'Industrie 16,2300,La Chaux-de-Fonds,47.10622787475586,6.832108974456787
16566,Neuenburg,2.5,54,1547,Faubourd Philippe-Suchard 22,2017,Boudry,,
16567,Neuenburg,4.5,112,2567,Faubourd Philippe-Suchard 22,2017,Boudry,,
16569,Neuenburg,4.0,1,1200,Rue du Pont 2,2114,Val-de-Travers,46.90367126464844,6.580676078796387
16572,Neuenburg,1.5,30,860,Rue de la Charriere 89,2300,La Chaux-de-Fonds,47.11324691772461,6.838217735290527
16573,Neuenburg,3.0,66,1070,Rue de Bel-Air 3,2300,La Chaux-de-Fonds,47.10680389404297,6.830327033996582
