"id","Region","Rooms","Area","Price","Street","Zip","City"
5995,Basel-Stadt,"3","67","1440",Liestaleranlage 33,"4052",Basel
5996,Basel-Stadt,"2.5","85","2180",Reinacherstrasse 22,"4053",Basel
5997,Basel-Stadt,"4.5","132","3235",Klingentalstrasse 47,"4058",Basel
5998,Basel-Stadt,"4.5","145","4190",Hirzbodenweg 50,"4052",Basel
5999,Basel-Stadt,"5.5","132","2860",Im Niederholzboden 52,"4125",Riehen
6000,Basel-Stadt,"4.5","145","3100",Delsbergerallee 46,"4053",Basel
6001,Basel-Stadt,"3.5","95","2700",Schneidergasse 27,"4051",Basel
6002,Basel-Stadt,"4","81","1785",Gustav Wenk-Str. 3,"4056",Basel
6003,Basel-Stadt,"4.5","133","3650",Peter Merian-Strasse 28,"4052",Basel
6004,Basel-Stadt,"3.5","140","3699",Totentanz 13,"4051",Basel
6005,Basel-Stadt,"5","118","3350",Rennweg 20,"4052",Basel
6006,Basel-Stadt,"3.5","80","1933",Altkircherstrasse 34,"4054",Basel
6008,Basel-Stadt,"2.5","58","1750",Sperrstrasse 89,"4057",Basel
6009,Basel-Stadt,"3.5","94","2306",St. Jakobsstr. 96,"4052",Basel
6010,Basel-Stadt,"2.5","54","1830",Grunpfahlgasse 4,"4051",Basel
6011,Basel-Stadt,"3.5","82","1905",Margarethenstrasse 59,"4053",Basel
6012,Basel-Stadt,"3.5","106","2994",Gerbergasse 70,"4001",Basel
6013,Basel-Stadt,"3","75","1607",Luzernerring 64,"4056",Basel
6017,Basel-Stadt,"3","63","1520",Schillerstrasse 2,"4053",Basel
6018,Basel-Stadt,"4","87","2400",Delsbergerallee 67,"4053",Basel
6019,Basel-Stadt,"2","50","1157",Hammerstrasse 105,"4057",Basel
6020,Basel-Stadt,"2.5","105","2360",Bungestrasse 18,"4055",Basel
6021,Basel-Stadt,"2","59","1220",Wasgenring 54,"4055",Basel
6022,Basel-Stadt,"3","76","1830",Beim Goldenen Lowen 8,"4052",Basel
6023,Basel-Stadt,"2","65","1766",Klingental 1,"4058",Basel
6024,Basel-Stadt,"2","55","1202",Erlenstrasse 50,"4058",Basel
6025,Basel-Stadt,"3.5","73","1730",Lehenmattstrasse 280,"4052",Basel
6026,Basel-Stadt,"1","32","1040",Lothringerstrasse 23,"4056",Basel
6027,Basel-Stadt,"3.5","89","2330",Schutzengraben 9,"4051",Basel
6028,Basel-Stadt,"3","67","1615",Roggenburgstrasse 9,"4055",Basel
6029,Basel-Stadt,"2","56","1310",Nafelserstr. 18,"4055",Basel
6030,Basel-Stadt,"1.5","38","1210",Holderstrasse 12,"4057",Basel
6031,Basel-Stadt,"5.5","124","2625",Wiesendamm 6A,"4057",Basel
6032,Basel-Stadt,"2","50","1300",General Guisan-Strasse 32,"4054",Basel
6033,Basel-Stadt,"3","70","1600",Hirtenweg 20,"4125",Riehen
6034,Basel-Stadt,"2","60","1650",Gartenstrasse 66,"4052",Basel
6035,Basel-Stadt,"2","45","1150",Ryffstrasse 30,"4056",Basel
6036,Basel-Stadt,"3.5","86","2300",Lehenmattstrasse 301,"4052",Basel
6037,Basel-Stadt,"2","53","1217",Haltingerstrasse 81,"4057",Basel
6038,Basel-Stadt,"2","59","1321",Waldshuterstr. 10,"4058",Basel
6039,Basel-Stadt,"2","50","1190",Ryffstrasse 22,"4056",Basel
6040,Basel-Stadt,"4","146","4800",Marktplatz 18,"4051",Basel
6041,Basel-Stadt,"2.5","63","1490",Gilgenbergerstrasse 9,"4053",Basel
6042,Basel-Stadt,"4","107","2297",Missionsstrasse 15,"4055",Basel
6043,Basel-Stadt,"2","62","1620",Sevogelstr. 40,"4052",Basel
6044,Basel-Stadt,"3.5","105","2158",Schutzengraben 51,"4051",Basel
6045,Basel-Stadt,"2.5","64","1744",Spalenring 160,"4055",Basel
6046,Basel-Stadt,"3.5","80","2120",Malzgasse 10,"4052",Basel
6048,Basel-Stadt,"2.5","66","1970",Singerweg 2,"4052",Basel
6049,Basel-Stadt,"1.5","62","1690",Clarahofweg 47,"4058",Basel
6052,Basel-Stadt,"2","62","1190",Sandgrubenstrasse 65,"4058",Basel
6053,Basel-Stadt,"3","67","1560",Ryffstrasse 4,"4058",Basel
6054,Basel-Stadt,"4","142","2440",Claramattweg 17,"4057",Basel
6055,Basel-Stadt,"3","65","1530",Weiherhofstr. 26,"4054",Basel
6057,Basel-Stadt,"3","72","1620",Lorracherstrasse 126,"4125",Riehen
6058,Basel-Stadt,"3","71","1550",St. Alban Ring 213,"4052",Basel
6059,Basel-Stadt,"3","99","3198",Giessliweg 58a,"4057",Basel
6060,Basel-Stadt,"3.5","95","2540",Maulbeerstrasse 14,"4058",Basel
6061,Basel-Stadt,"1","34","906",Claragraben105/Klingentalst 12,"4057",Basel
6062,Basel-Stadt,"4.5","85","2062",Gempenstr. 73,"4053",Basel
6063,Basel-Stadt,"2.5","55","1588",Turkheimerstrasse 20,"4055",Basel
6064,Basel-Stadt,"3.5","97","2500",Schneidergasse 27,"4051",Basel
6065,Basel-Stadt,"4","94","1850",Elsasserstrasse 51,"4056",Basel
6066,Basel-Stadt,"2","60","1690",Gartenstrasse 66,"4052",Basel
6067,Basel-Stadt,"2.5","86","2490",Falknerstrasse 8,"4001",Basel
6068,Basel-Stadt,"3","61","1612",Grosspeterstr. 11,"4052",Basel
6070,Basel-Stadt,"2.5","64","1770",Landskronstrasse 20,"4056",Basel
6071,Basel-Stadt,"4","92","2111",Clarastrasse 5,"4058",Basel
6072,Basel-Stadt,"2","59","1590",Guterstr. 173,"4053",Basel
6073,Basel-Stadt,"3","117","2830",Jacob Burckhardt-Strasse 61,"4052",Basel
6074,Basel-Stadt,"2","51","1462",Jacob Burckhardt-Str. 75,"4052",Basel
6075,Basel-Stadt,"4","76","1705",Markircherstrasse 52,"4055",Basel
6076,Basel-Stadt,"2","67","1670",Brunnlirain 9,"4125",Riehen
6077,Basel-Stadt,"4.5","110","2376",Spalenvorstadt 36,"4051",Basel
6078,Basel-Stadt,"3","75","2110",Am Krayenrain 10,"4056",Basel
6080,Basel-Stadt,"2.5","67","1625",Turkheimerstrasse 20,"4055",Basel
6081,Basel-Stadt,"3.5","78","1750",St. Jakobs-Strasse 112,"4052",Basel
6082,Basel-Stadt,"2.5","55","1515",Dornacherstrasse 240,"4053",Basel
6083,Basel-Stadt,"3","79","1634",Paracelsusstrasse 65,"4058",Basel
6084,Basel-Stadt,"3.5","84","1760",Schauenburgerstrasse 14,"4052",Basel
6085,Basel-Stadt,"1","30","900",Entenweidstrasse 74/8,"4056",Basel
6086,Basel-Stadt,"3","61","1528",Grosspeterstr. 9,"4052",Basel
6087,Basel-Stadt,"3","103","2955",Rennweg 25,"4052",Basel
6088,Basel-Stadt,"2","74","1600",St. Jakobs-Strasse 361,"4052",Basel
6089,Basel-Stadt,"3.5","69","1890",Achilles-Bischoff-Strasse 8,"4053",Basel
6090,Basel-Stadt,"4.5","82","1900",Entenweidstrasse 74,"4056",Basel
6091,Basel-Stadt,"3","72","1883",Margarethenstrasse 45,"4053",Basel
6092,Basel-Stadt,"3","68","1575",Flughafenstrasse 77,"4056",Basel
6093,Basel-Stadt,"2.5","45","1270",Achilles-Bischoff-Strasse 8,"4053",Basel
6094,Basel-Stadt,"3","74","1660",Prattelerstr. 11,"4052",Basel
6095,Basel-Stadt,"3","62","1590",Achilles-Bischoff-Strasse 10,"4053",Basel
6096,Basel-Stadt,"1","45","1261",Rainallee 4,"4125",Riehen
6097,Basel-Stadt,"3","65","1610",Hammerstrasse 100,"4057",Basel
6098,Basel-Stadt,"2","44","1340",Oetlingerstr. 8,"4057",Basel
6099,Basel-Stadt,"2","46","1290",Austr. 111,"4051",Basel
6100,Basel-Stadt,"4.5","87","2140",Achilles-Bischoff-Strasse 4,"4053",Basel
6101,Basel-Stadt,"2","44","1250",Entenweidstrasse 74/7,"4056",Basel
6102,Basel-Stadt,"3","65","1513",Hammerstrasse 38,"4058",Basel
6103,Basel-Stadt,"4","112","2170",Morsbergerstrasse 54,"4057",Basel
6104,Basel-Stadt,"4.5","85","2120",Achilles-Bischoff-Strasse 2,"4053",Basel
6106,Basel-Stadt,"3.5","73","1830",Lehenmattstrasse 282,"4052",Basel
6107,Basel-Stadt,"4.5","82","2435",Gasstrasse 68,"4056",Basel
6108,Basel-Stadt,"3","75","1625",Luzernerring 72,"4056",Basel
6109,Basel-Stadt,"2","57","1774",Hegenheimerstrasse 120,"4055",Basel
6110,Basel-Stadt,"2","57","1750",Hegenheimerstrasse 120,"4055",Basel
6111,Basel-Stadt,"2","57","1750",Hegenheimerstrasse 120,"4055",Basel
